,학교명,Latitude,Longitude,건물등급,인적등급,재난등급,공사등급,간접등급,재산등급,building_grade,people_grade,property_grade,indirect_grade,construction_grade,disaster_grade
140,전주생명과학고등학교 4본관,35.8399673,127.14760600000001,70,2.0,0,0,10,8.0,14,0,6,10,0,0
141,전주생명과학고등학교 식품가공관 및 산업기계관,35.8399673,127.14760600000001,70,2.0,0,0,10,8.0,14,0,6,10,0,0
142,전주서곡중학교 서곡중학교,35.8356469,127.10392859999999,70,3.0,0,5,0,8.0,14,1,6,0,2,0
143,전주서곡초등학교 교사동,35.8328635,127.10052990000001,70,4.0,0,0,0,8.0,14,2,6,0,0,0
144,전주서문초등학교 교사1동,35.829664799999996,127.1120554,70,6.0,0,0,0,8.0,14,4,6,0,0,0
145,전주서문초등학교 교사2동,35.829664799999996,127.1120554,70,6.0,0,0,0,6.0,14,4,4,0,0,0
146,전주서신중학교 교사,35.828728399999996,127.1167098,70,3.0,0,0,0,7.0,14,1,5,0,0,0
147,전주서신초등학교 강당및 급식소,35.829744500000004,127.12476140000001,70,2.0,0,5,0,9.0,14,0,7,0,2,0
148,전주서신초등학교 교사1동,35.829744500000004,127.12476140000001,70,2.0,0,5,0,9.0,14,0,7,0,2,0
149,전주서신초등학교 교사2동,35.829744500000004,127.12476140000001,70,2.0,0,5,0,9.0,14,0,7,0,2,0
150,전주서신초등학교 교사3동,35.829744500000004,127.12476140000001,70,2.0,0,5,0,9.0,14,0,7,0,2,0
151,전주서원초등학교 교사1,35.8097765,127.1187742,60,4.0,0,0,0,9.0,12,2,7,0,0,0
152,전주서원초등학교 교사2,35.8097765,127.1187742,70,4.0,0,0,0,9.0,14,2,7,0,0,0
153,전주서원초등학교 교사3,35.8097765,127.1187742,60,4.0,0,0,0,10.0,12,2,8,0,0,0
154,전주서일초등학교 교사1(본관),35.8363631,127.11496149999999,70,5.0,0,0,0,2.0,14,3,0,0,0,0
155,전주서일초등학교 교사2(별관),35.8363631,127.11496149999999,70,5.0,0,0,0,1.0,14,3,0,0,0,0
156,전주서중학교 교사 및 강당,35.8315528,127.10989280000001,80,4.0,0,0,0,1.0,16,2,0,0,0,0
157,전주서천초등학교 교사동,35.832295200000004,127.10857279999999,70,4.0,0,0,0,1.0,14,2,0,0,0,0
158,전주선화학교 교사(본관),35.8203812,127.090368,70,6.0,0,0,0,8.0,14,4,6,0,0,0
159,전주선화학교 교사(서관),35.8203812,127.090368,70,6.0,0,0,0,5.0,14,4,3,0,0,0
160,전주선화학교 식생활관,35.8203812,127.090368,70,6.0,0,0,0,5.0,14,4,3,0,0,0
161,전주솔내고등학교 교사동,35.862762599999996,127.1230034,70,7.0,0,0,6,6.0,14,5,4,6,0,0
162,전주솔내고등학교 기숙사,35.862762599999996,127.1230034,70,7.0,0,0,6,6.0,14,5,4,6,0,0
163,전주솔내고등학교 체육관(강당및급식실),35.862762599999996,127.1230034,70,7.0,0,0,6,6.0,14,5,4,6,0,0
164,전주솔빛중학교 급식실및교실,35.8592,127.124389,70,7.0,0,0,10,2.0,14,5,0,10,0,0
165,전주솔빛중학교 본관,35.8592,127.124389,70,7.0,0,0,10,7.0,14,5,5,10,0,0
166,전주송북초등학교 강당및급식소,35.8633129,127.12443119999999,70,7.0,0,5,6,6.0,14,5,4,6,2,0
167,전주송북초등학교 교사동,35.8633129,127.12443119999999,70,7.0,0,5,6,4.0,14,5,2,6,2,0
168,전주송천초등학교 교사동1(본관),35.857660100000004,127.1197604,70,7.0,0,0,10,8.0,14,5,5,10,0,0
169,전주송천초등학교 교사동2(서관),35.857660100000004,127.1197604,70,7.0,0,0,10,7.0,14,5,5,10,0,0
170,전주송천초등학교 교사동3(후관),35.857660100000004,127.1197604,70,7.0,0,0,10,7.0,14,5,5,10,0,0
171,전주신동초등학교 강당/급식소,35.8692108,127.12662859999999,70,8.0,0,5,4,4.0,14,6,1,4,2,0
172,전주신동초등학교 교사동,35.8692108,127.12662859999999,70,8.0,0,5,4,4.0,14,6,1,4,2,0
173,전주신성초등학교 교사1동,35.790106,127.1341102,70,4.0,0,0,0,6.0,14,2,4,0,0,0
174,전주신성초등학교 교사2동,35.790106,127.1341102,70,4.0,0,0,0,6.0,14,2,4,0,0,0
175,전주신일중학교 본관동,35.829111299999994,127.1524818,70,3.0,0,5,0,8.0,14,1,7,0,2,0
176,전주아중초등학교 교사1,35.828032,127.17536000000001,70,4.0,0,0,6,8.0,14,2,6,6,0,0
177,전주아중초등학교 교사2,35.828032,127.17536000000001,70,4.0,0,0,6,7.0,14,2,5,6,0,0
178,전주양지중학교 본관,35.7920451,127.1244548,70,1.0,0,0,0,4.0,14,0,2,0,0,0
179,전주양지초등학교 강당,35.7924744,127.1260034,80,3.0,0,0,0,7.0,16,1,5,0,0,0
180,전주양지초등학교 교사1,35.7924744,127.1260034,70,3.0,0,0,0,7.0,14,1,5,0,0,0
181,전주양지초등학교 교사2,35.7924744,127.1260034,70,3.0,0,0,0,7.0,14,1,5,0,0,0
182,전주여울초등학교 본관,35.837488,127.11118570000001,70,1.0,0,0,0,7.0,14,0,4,0,0,0
183,전주여자고등학교 강당,35.8362484,127.14644240000001,70,5.0,0,0,0,6.0,14,3,4,0,0,0
184,전주여자고등학교 교사(특별교실),35.8362484,127.14644240000001,70,5.0,0,0,0,5.0,14,3,3,0,0,0
185,전주여자고등학교 교사(후관),35.8362484,127.14644240000001,70,5.0,0,0,0,6.0,14,3,4,0,0,0
186,전주여자고등학교 식생활관,35.8362484,127.14644240000001,80,5.0,0,0,0,6.0,16,3,3,0,0,0
187,전주영어체험학습센터,35.8346915,127.15970659999999,80,4.0,0,0,6,7.0,16,2,5,6,0,0
188,전주온고을중학교 제1동 본관,35.8294565,127.1657517,70,5.0,0,0,6,2.0,14,3,0,6,0,0
189,전주온고을중학교 제2동 강당급식소,35.8294565,127.1657517,70,5.0,0,0,6,2.0,14,3,0,6,0,0
190,전주완산서초등학교 본관,35.806979,127.13329640000002,80,7.0,0,0,0,8.0,16,5,6,0,0,0
191,전주완산초등학교 교사동1,35.806979,127.13329640000002,70,7.0,0,0,0,5.0,14,5,3,0,0,0
192,전주완산초등학교 교사동2,35.806979,127.13329640000002,80,7.0,0,0,0,8.0,16,5,6,0,0,0
193,전주용덕초등학교 교사 1동,35.876928899999996,127.0516585,70,1.0,0,0,6,4.0,14,0,2,6,0,0
194,전주용흥초등학교 교사,35.794458399999996,127.1122348,70,4.0,0,0,0,1.0,14,2,0,0,0,0
195,전주우아중학교 강당,35.8542576,127.15387050000001,70,5.0,0,0,2,2.0,14,3,0,2,0,0
196,전주우아중학교 교사,35.8542576,127.15387050000001,80,5.0,0,0,2,4.0,16,3,2,2,0,0
197,전주우전중학교 교사,35.80549439999999,127.1066794,70,5.0,0,0,0,8.0,14,3,6,0,0,0
198,전주우전초등학교 교사1,35.805528100000004,127.106866,70,6.0,0,0,0,7.0,14,4,5,0,0,0
199,전주우전초등학교 교사2,35.805528100000004,127.106866,70,6.0,0,0,0,7.0,14,4,5,0,0,0
200,전주은화학교 교사동,35.8190261,127.0863398,80,2.0,0,0,0,3.0,16,0,1,0,0,0
201,전주은화학교 기숙사동,35.8190261,127.0863398,70,2.0,0,0,0,3.0,14,0,1,0,0,0
202,전주인봉초등학교 본관,35.8269357,127.1649923,70,2.0,0,0,8,4.0,14,0,2,8,0,0
203,전주인후초등학교 인후초등학교 1동,35.8315815,127.16258219999999,70,6.0,0,0,6,5.0,14,4,3,6,0,0
204,전주인후초등학교 인후초등학교 3동|BU00083246,35.8315815,127.16258219999999,85,6.0,0,0,6,9.0,17,4,7,6,0,0
205,전주장동초등학교 교사동3,35.8491609,127.0603415,70,1.0,0,0,6,9.0,14,0,7,6,0,0
206,전주전라초등학교 본관동,35.83916370000001,127.1522497,70,4.0,0,5,6,10.0,14,2,8,6,2,0
207,전주전라초등학교 후관동,35.83916370000001,127.1522497,70,4.0,0,5,6,10.0,14,2,9,6,2,0
208,전주전일초등학교 강당,35.8301251,127.1375173,80,8.0,0,0,8,10.0,16,6,8,8,0,0
209,전주전일초등학교 교사,35.8301251,127.1375173,70,8.0,0,0,8,10.0,14,6,8,8,0,0
210,전주제일고등학교 과학관,35.821542,127.15836340000001,70,2.0,10,0,0,9.0,14,0,7,0,0,10
211,전주제일고등학교 본관,35.821542,127.15836340000001,80,2.0,10,0,0,10.0,16,0,8,0,0,10
212,전주조촌초등학교 교사 2동,35.869604100000004,127.07595409999999,80,8.0,0,5,10,9.0,16,6,7,10,2,0
213,전주조촌초등학교 교사 3동,35.869604100000004,127.07595409999999,70,8.0,0,5,10,8.0,14,6,6,10,2,0
214,전주조촌초등학교 교사 5동,35.869604100000004,127.07595409999999,80,8.0,0,5,10,9.0,16,6,7,10,2,0
215,전주중산초등학교 강당/급식소,35.8170547,127.11969779999998,70,6.0,0,0,0,10.0,14,4,8,0,0,0
216,전주중산초등학교 본관,35.8170547,127.11969779999998,70,6.0,0,0,0,10.0,14,4,8,0,0,0
217,전주중산초등학교 후관,35.8170547,127.11969779999998,70,6.0,0,0,0,10.0,14,4,8,0,0,0
218,전주중앙중학교 강당,35.8277482,127.1387791,80,3.0,0,0,4,10.0,16,1,8,4,0,0
219,전주중앙중학교 본관(교사1),35.8277482,127.1387791,70,3.0,0,0,4,10.0,14,1,8,4,0,0
220,전주중앙초등학교 중앙초등학교,35.8149209,127.15130970000001,70,3.0,0,0,0,10.0,14,1,9,0,0,0
221,전주중인초등학교 교사동1,35.7710598,127.09750670000001,80,5.0,0,0,0,9.0,16,3,7,0,0,0
222,전주중학교 교사,35.8577999,127.1226965,70,6.0,0,10,8,10.0,14,4,8,8,4,0
223,전주중학교 급식소 및 교실,35.8577999,127.1226965,70,6.0,0,10,8,10.0,14,4,8,8,4,0
224,전주진북초등학교 본관,35.826220500000005,127.1318631,70,5.0,0,0,8,10.0,14,3,8,8,0,0
225,전주진북초등학교 후관,35.826220500000005,127.1318631,70,5.0,0,0,8,10.0,14,3,8,8,0,0
226,전주초등학교 교사1,35.8221567,127.1394975,80,3.0,0,0,0,10.0,16,1,8,0,0,0
227,전주초등학교 교사3,35.8221567,127.1394975,80,3.0,0,0,0,10.0,16,1,8,0,0,0
228,전주초등학교 교사4,35.8221567,127.1394975,80,3.0,0,0,0,9.0,16,1,7,0,0,0
229,전주초포초등학교 교사,35.877140000000004,127.1396902,70,1.0,0,0,0,7.0,14,0,5,0,0,0
230,전주팔복초등학교 본관,35.8637005,127.094642,70,1.0,0,0,4,9.0,14,0,7,4,0,0
231,전주평화중학교 교사,35.7830969,127.13403909999998,60,1.0,0,0,0,9.0,12,0,7,0,0,0
232,전주평화초등학교 교사1,35.799645,127.1390639,70,1.0,0,0,0,10.0,14,0,8,0,0,0
233,전주평화초등학교 다목적강당,35.799645,127.1390639,70,1.0,0,0,0,10.0,14,0,8,0,0,0
234,전주풍남중학교 본관,35.8001122,127.11600420000002,80,6.0,0,0,0,9.0,16,4,7,0,0,0
235,전주풍남중학교 신관,35.8001122,127.11600420000002,70,6.0,0,0,0,9.0,14,4,7,0,0,0
236,전주풍남초등학교 교사 1동,35.8220384,127.1537212,80,6.0,0,0,0,10.0,16,4,8,0,0,0
237,전주풍남초등학교 교사 2동,35.8220384,127.1537212,70,6.0,0,0,0,10.0,14,4,8,0,0,0
238,전주한들초등학교 교사동,35.8210843,127.1170512,80,2.0,0,0,0,9.0,16,0,7,0,0,0
239,전주호성중학교 교사1동(본관),35.864208399999995,127.1571452,70,1.0,0,0,2,10.0,14,0,8,2,0,0
240,전주화산초등학교 교사1,35.809527200000005,127.12958300000001,80,4.0,0,0,0,10.0,16,2,8,0,0,0
241,전주화산초등학교 교사2,35.809527200000005,127.12958300000001,80,4.0,0,0,0,10.0,16,2,8,0,0,0
242,전주효림초등학교,35.80280629999999,127.1135321,70,4.0,0,0,0,2.0,14,2,0,0,0,0
243,전주효문초등학교 교사,35.80280629999999,127.1135321,70,5.0,0,0,0,3.0,14,3,1,0,0,0
244,전주효자초등학교 교사동1,35.8032999,127.12274029999999,70,2.0,0,5,0,8.0,14,0,7,0,2,0
245,전주효정중학교 교사,35.806979,127.13329640000002,70,6.0,0,0,0,9.0,14,4,7,0,0,0
246,전주효정중학교 다목적교실(강당),35.806979,127.13329640000002,70,6.0,0,0,0,9.0,14,4,7,0,0,0
247,하수처리장,35.876380700000006,127.1045033,70,1.0,10,0,0,4.0,14,0,2,0,0,10
248,한국전통문화고등학교 강당,35.7725319,127.09781219999999,80,5.0,0,0,0,6.0,16,3,4,0,0,0
249,한국전통문화고등학교 기숙사및급식실,35.7725319,127.09781219999999,80,5.0,0,0,0,4.0,16,3,2,0,0,0
250,한국전통문화고등학교 본관동,35.7725319,127.09781219999999,80,5.0,0,0,0,6.0,16,3,4,0,0,0
251,농수산물도매시장(수산동),35.8673984,127.1175166,70,8.0,0,0,0,4.0,14,6,1,0,0,0
252,화산체육관(종합관),35.8213814,127.1242777,70,4.0,0,0,0,7.0,14,2,5,0,0,0
253,화산체육관(빙상장),35.8213814,127.1242777,70,4.0,0,0,0,7.0,14,2,5,0,0,0
254,전북대학교병원 본관동,35.8471872,127.14058940000001,70,10.0,0,0,8,1.0,14,8,0,8,0,0
255,전주종합운동장,35.8382206,127.12516200000002,80,2.0,0,0,0,4.0,16,0,2,0,0,0
256,전주실내체육관,35.844182,127.12927759999998,80,10.0,0,0,10,4.0,16,8,2,10,0,0
257,전주실내수영장,35.84033370000001,127.1255937,80,2.0,0,0,0,4.0,16,0,2,0,0,0
258,전주완산실내수영장,35.802620000000005,127.10605659999999,70,1.0,0,0,0,4.0,14,0,2,0,0,0
259,농수산물도매시장(청과동),35.8688054,127.11802479999999,70,6.0,0,0,0,4.0,14,4,2,0,0,0
260,국립전주박물관,35.801030499999996,127.0901371,70,1.0,0,0,0,4.0,14,0,2,0,0,0
261,전북대학교병원 응급센터,35.8471872,127.14058940000001,70,10.0,0,0,8,1.0,14,8,0,8,0,0
262,진료지원센터 및 암센터,35.8471872,127.14058940000001,70,10.0,0,0,8,1.0,14,8,0,8,0,0
263,농업과학관,35.8322059,127.05672549999998,70,1.0,0,0,0,1.0,14,0,0,0,0,0
264,노인보건의료센터 및 권역응급센터,35.8471872,127.14058940000001,70,10.0,0,0,8,1.0,14,8,0,8,0,0
265,어린이병원 및 호흡기질환전문센터,35.8471872,127.14058940000001,60,10.0,0,0,8,1.0,12,8,0,8,0,0
266,국립무형유산원,35.8101967,127.1606098,70,1.0,0,0,0,8.0,14,0,6,0,0,0
267,국민연금공단,35.8333833,127.1217053,70,1.0,0,10,0,5.0,14,0,3,0,4,0
268,한국토지주택공사 전북지역본부 사옥한국토지주택공사 전북지역본부,35.80743270000001,127.1049361,70,2.0,0,0,0,9.0,14,0,7,0,0,0
269,전라북도청사,35.8197638,127.1081298,70,5.0,0,0,0,7.0,14,3,5,0,0,0
270,전주월드컵경기장,35.8650602,127.06367309999999,70,2.0,0,0,0,1.0,14,0,0,0,0,0
271,전북 전주시 덕진구 전주천동로 498,35.8365218,127.1310205,90,8.0,0,0,2,,18,6,8,2,0,0
272,전북 전주시 덕진구 전주천동로 500-1,35.836566,127.1312712,100,2.0,0,0,2,,20,0,8,2,0,0
273,전북 전주시 덕진구 기린대로 398,35.8376269,127.1325348,90,9.0,0,5,0,,18,7,6,0,2,0
274,전북 전주시 덕진구 기린대로 400-29,35.8381581,127.13269950000002,90,9.0,0,5,0,,18,7,6,0,2,0
275,전북 전주시 덕진구 기린대로 400-63,35.8383123,127.1329723,100,7.0,0,5,0,,20,5,6,0,2,0
276,전라북도 전주시 덕진구 백제대로 639,35.8429961,127.1393284,90,6.0,0,5,6,,18,4,4,6,2,0
277,전북 전주시 덕진구 조경단로 100,35.8432105,127.13906159999999,100,6.0,0,5,4,,20,4,3,4,2,0
278,전북 전주시 덕진구 건지3길 10-6,35.8449406,127.14480470000001,90,1.0,0,0,4,,18,0,2,4,0,0
279,전북 전주시 덕진구 백동5길 18 1층,35.8475299,127.15025449999999,90,3.0,0,0,4,,18,1,4,4,0,0
280,전북 전주시 덕진구 인교9길 8,35.8257236,127.17376029999998,90,1.0,0,0,4,,18,0,5,4,0,0
281,전라북도 전주시 완산구 마당재2길 17-6,35.820592700000006,127.16039860000001,100,1.0,0,0,0,,20,0,6,0,0,0
282,전라북도 전주시 완산구 낙수정2길 9-12,35.8156191,127.16179550000001,100,2.0,0,0,0,,20,0,6,0,0,0
283,전라북도 전주시 완산구 간납대2길 16,35.8167225,127.1579606,90,3.0,0,5,0,,18,1,6,0,2,0
