학교명,등급,소재지지번주소,Latitude,Longitude,건물등급
서전주중학교 강당/급식소/교사,B등급,전라북도 전주시 완산구 거마평로 205 서전주중학교,35.8103054,127.1127264,
서전주중학교 교사,B등급,전라북도 전주시 완산구 거마평로 205 서전주중학교,35.8103054,127.1127264,
전라고등학교 전라고등학교 10동(기숙사),B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,
전라고등학교 전라고등학교 1동(본관),B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,
"전라고등학교 전라고등학교 2동(강당, 급식소)",B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,
전라고등학교 전라고등학교 6동(학습동),B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,
전라고등학교 전라고등학교 7동(정진관),B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,
전라북도교육문화회관 공연장동,B등급,전라북도 전주시 덕진구 안덕원로 71,35.8291331,127.1378158,
전라북도교육문화회관 본관동,B등급,전라북도 전주시 덕진구 안덕원로 71 전북교육문화회관,35.8291925,127.1375569,
전라북도교육문화회관 예능관동,B등급,전라북도 전주시 덕진구 안덕원로 71 전북교육문화회관,35.8291925,127.1375569,
전라북도교육문화회관 체육관동,B등급,전라북도 전주시 덕진구 안덕원로 71 전북교육문화회관,35.8291925,127.1375569,
전라북도교육연구정보원 청사,A등급,전라북도 전주시 덕진구 안덕원로 191 전라북도과학교육원,35.8360812,127.1472577,
전라북도완주교육지원청 완주교육지원청,B등급,전라북도 전주시 덕진구 모래내6길 17 완주교육청,35.8351919,127.1452227,
전라북도전주교육지원청 영재교육원,B등급,전라북도 전주시 덕진구 태진로 100,35.830294,127.1368049,
전라북도전주교육지원청 청사,B등급,전라북도 전주시 덕진구 태진로 100 전주시교육청,35.8303723,127.1365045,
전라중학교 교사3동,B등급,전라북도 전주시 덕진구 들사평1길 39 전라중학교,35.8379049,127.1233258,
전북대 건지아트홀및휴게동,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 공과대학 4호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 공과대학 8호관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 공과대학1호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 공과대학2호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 공과대학3호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 공과대학5호관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 공과대학6호관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 공과대학7호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 공대부속공장,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 글로벌인재관(구학습도서관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 농과대학1호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 농과대학2호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 농과대학3호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 농과대학4호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 농대본관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 농대본관(농업과학기술연구소),불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 농대시설재배온실,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 대학본부(별관포함),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 동아리전용관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 반도체물성연구소,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 변전실,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 사대부고(본관),불명,전라북도 전주시 덕진구 백제대로 567 전북대학교,35.8441821,127.1292777,
전북대 사대부고생활관,불명,전라북도 전주시 덕진구 백제대로 567 전북대학교,35.8441821,127.1292777,
전북대 사대부고체육관,불명,전라북도 전주시 덕진구 백제대로 567 전북대학교,35.8441821,127.1292777,
전북대 사범대 과학관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 사범대 본관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 사회과학대학,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 산학협련단별관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 상과대학 1호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 상과대학 2호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 생활과학대학,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 생활관 3호관(진리관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 생활관 5호관(대동관),B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 생활관 관리동,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 언어교육원,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 예술대 미술관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 예술대 예체능관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 예술대학 2호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 예술대학 본관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 의과대학1호관,C등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대 의과대학2호관,C등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대 의학계 학생회관,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대 의학계도서관,C등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대 인문과학대학 1호관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 인문과학대학 2호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 자연과학대학 1호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 자연과학대학 2호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 자연과학대학 3호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 자연과학대학 4호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 자연과학대학 5호관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 자연과학대학 본관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 자연사박물관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 정보전산원 교육동,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 정보전산원 본부동,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 제1학생회관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 제2도서관(구중앙도서관 본관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 제2학생회관,불명,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 제2후생관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 체육관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 치과대학 2호관,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대 치과대학 3호관(수의과대학 본관),B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대 치과대학 본관,C등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대 치과대학 의학계열공용관(동물병원 전주캠),B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대 평생교육원,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 학습도서관(구중앙도서관 별관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 합동강의실(전대학술문화관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대 후생관(제1후생관),C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,
전북대학교병원 교수연구동,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대학교병원 장례식장,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전북대학교병원 치과병원,B등급,전라북도 전주시 덕진구 건지로 20,35.8471872,127.1405894,
전일중학교 교사1동,C등급,전라북도 전주시 덕진구 모래내6길 36,35.8383053,127.1452047,
전일중학교 교사2동,C등급,전라북도 전주시 덕진구 모래내6길 36,35.8383053,127.1452047,
전주고등학교 기숙사 1,B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,
전주고등학교 기숙사 2,C등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,
전주고등학교 대강당,B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,
전주고등학교 본관동,B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,
전주고등학교 체육관,B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,
전주고등학교 후관(특별교사 : 과학동),B등급,전라북도 전주시 완산구 권삼득로 2 전주고등학교,35.8253876,127.1518334,
전주곤지중학교 본관,B등급,전라북도 전주시 완산구 매곡로 22 전주완산초등학교,35.810056,127.1438624,
전주공업고등학교 실습실/직업훈련동,C등급,전라북도 전주시 덕진구 여산로 101,35.8634209,127.0742709,
전주교육대학교 교육문화관,A등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,
전주교육대학교 기숙사,A등급,전라북도 전주시 완산구 천경로 11 ,35.8077841,127.1524219,
전주교육대학교 대학본부동,B등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,
전주교육대학교 도서관,A등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,
전주교육대학교 미술실과관,A등급,전라북도 전주시 완산구 서학로 70,35.8087179,127.1572938,
전주교육대학교 전산사회관,B등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,
전주교육대학교 학생회관,B등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,
전주교육대학교 황학당,B등급,전라북도 전주시 완산구 서학로 50,35.8091378,127.155104,
전주금암초등학교 교사1,B등급,전라북도 전주시 덕진구 권삼득로 210,35.8377291,127.1367111,
전주금암초등학교 교사2,B등급,전라북도 전주시 덕진구 권삼득로 210,35.8377291,127.1367111,
전주금평초등학교 교사1(본관),B등급,전라북도 전주시 덕진구 명주3길 16,35.8436243,127.1474158,
전주금평초등학교 교사2(서관),B등급,전라북도 전주시 덕진구 명주3길 16,35.8436243,127.1474158,
전주기린중학교 사무소건(본관동),B등급,전라북도 전주시 덕진구 동부대로 739,35.848752,127.1464411,
전주기린초등학교 교사4동,B등급,전라북도 전주시 덕진구 견훤로 260,35.8346915,127.1597066,
전주남중학교 본관(교사동),C등급,전라북도 전주시 완산구 덕적골2길 30 전주남중학교,35.7961131,127.1403075,
전주남초등학교 교사1동,B등급,전라북도 전주시 완산구 장승배기로 376 전주남초등학교,35.8034458,127.1507508,
전주남초등학교 교사3동,B등급,전라북도 전주시 완산구 장승배기로 376 전주남초등학교,35.8034458,127.1507508,
전주남초등학교 체육관,B등급,전라북도 전주시 완산구 장승배기로 376,35.8033598,127.1507905,
전주대성초등학교 교사동,B등급,전라북도 전주시 완산구 고덕산1길 20,35.7975438,127.1777827,
전주덕일중학교 본관(교실),C등급,전라북도 전주시 덕진구 하가로 67,35.8479425,127.1113458,
전주덕일초등학교 별관,B등급,전라북도 전주시 덕진구 하가로 71,35.8486913,127.1121699,
전주덕일초등학교 본관,C등급,전라북도 전주시 덕진구 하가로 71,35.8486913,127.1121699,
전주덕진초등학교 교실1(후관동),B등급,전라북도 전주시 덕진구 들사평로 61,35.8415348,127.1244393,
전주동북초등학교 본관,B등급,전라북도 전주시 덕진구 견훤왕궁로 227,35.8393814,127.1448157,
전주동북초등학교 후관,B등급,전라북도 전주시 덕진구 견훤왕궁로 227,35.8393814,127.1448157,
전주동신초등학교 사무소(본관동),B등급,전라북도 전주시 덕진구 우아9길 1 전주동신초등학교,35.8518012,127.1564156,
전주동중학교 강당,B등급,전라북도 전주시 덕진구 심방죽로 23,35.8386852,127.1503455,
전주동중학교 교사1,B등급,전라북도 전주시 덕진구 심방죽로 23 전주동중학교,35.8383027,127.1500555,
전주동중학교 교사2,B등급,전라북도 전주시 덕진구 심방죽로 23 전주동중학교,35.8383027,127.1500555,
전주동중학교 교사3,B등급,전라북도 전주시 덕진구 심방죽로 23 전주동중학교,35.8383027,127.1500555,
전주동초등학교 교사,B등급,전라북도 전주시 완산구 물왕멀로 72 전주동초등학교,35.8290261,127.1523055,
전주문정초등학교 교사동1(본관),C등급,전라북도 전주시 완산구 구이로 1979,35.7754577,127.1275964,
전주미산초등학교 교사1(본관),B등급,전라북도 전주시 덕진구 전미로 160 미산초등학교,35.8838799,127.1095026,
전주반월초등학교 본관,B등급,전라북도 전주시 덕진구 혁신로 707,35.8754945,127.0737894,
전주부설초등학교 본관동,A등급,전라북도 전주시 완산구 팔달로 74 전주교대부설초등학교,35.8084101,127.1510919,
전주부설초등학교 식당특별교실,A등급,전라북도 전주시 완산구 팔달로 74 전주교대부설초등학교,35.8084101,127.1510919,
전주부설초등학교 저학년동,A등급,전라북도 전주시 완산구 팔달로 74 전주교대부설초등학교,35.8084101,127.1510919,
전주북일초등학교 본관(1동),B등급,전라북도 전주시 덕진구 견훤로 336,35.8421911,127.1556956,
전주북초등학교 교사,B등급,전라북도 전주시 덕진구 견훤로 336,35.8421911,127.1556956,
전주삼천초등학교 본관,C등급,전라북도 전주시 완산구 성지산로 38,35.8007149,127.1234834,
전주상업정보고등학교 본관,B등급,전라북도 전주시 완산구 따박골2길 21 전주상업정보고등학교,35.8101667,127.125253,
